"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TMAX","TMIN"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-11","0.00",,"74","52"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-12","0.00",,"75","57"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-13","0.00",,"82","58"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-14","0.00",,"76","61"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-15","0.00",,"74","54"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-16","0.00",,"83","54"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-17","0.00",,"82","60"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-18","0.00",,"78","64"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-19","0.00",,"77","58"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-20","0.00",,"83","57"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-21","0.10",,"90","61"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-22","0.15",,"78","66"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-23","0.01",,"72","58"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-24","1.42",,"68","51"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-25","0.61",,"62","57"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-26","0.09",,"63","53"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-27","0.21",,"59","55"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-28","0.00",,"71","53"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-29","0.00",,"72","58"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-30","0.00",,"71","54"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-08-31","0.00",,"70","54"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-09-01","0.00",,"78","52"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-09-02","0.00",,"77","62"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-09-03","0.00",,"80","60"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-09-04","0.00",,"71","61"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-09-05","0.04",,"67","49"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-09-06","0.15",,"68","53"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-09-07","0.20",,"63","58"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-09-08","0.00",,"70","48"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-09-09","0.00",,"70","49"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-09-10","0.03",,"68","55"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-09-11","0.00",,"69","55"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-09-12","0.01",,"78","64"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-09-13","0.20",,"71","63"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-09-14","0.00",,"70","60"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-09-15","0.00",,"65","53"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-09-16","0.00",,"73","49"
