"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TMAX","TMIN"
"BE000006447","50.8","4.35","104.0","1987-10-26","0.00",,"54","38"
"BE000006447","50.8","4.35","104.0","1987-10-27","0.14",,"64","40"
"BE000006447","50.8","4.35","104.0","1987-10-28","0.30",,"56","47"
"BE000006447","50.8","4.35","104.0","1987-10-29","0.02",,"53","51"
"BE000006447","50.8","4.35","104.0","1987-10-30","0.00",,"58","51"
"BE000006447","50.8","4.35","104.0","1987-10-31","0.01",,"56","51"
"BE000006447","50.8","4.35","104.0","1987-11-01","0.02",,"57","52"
"BE000006447","50.8","4.35","104.0","1987-11-02","0.00",,"53","47"
"BE000006447","50.8","4.35","104.0","1987-11-03","0.03",,"51","40"
"BE000006447","50.8","4.35","104.0","1987-11-04","0.00",,"49","38"
"BE000006447","50.8","4.35","104.0","1987-11-05","0.00",,"47","34"
"BE000006447","50.8","4.35","104.0","1987-11-06","0.00",,"42","35"
"BE000006447","50.8","4.35","104.0","1987-11-07","0.00",,"41","36"
"BE000006447","50.8","4.35","104.0","1987-11-08","0.00",,"38","33"
"BE000006447","50.8","4.35","104.0","1987-11-09","0.00",,"43","33"
"BE000006447","50.8","4.35","104.0","1987-11-10","0.10",,"47","37"
"BE000006447","50.8","4.35","104.0","1987-11-11","0.54",,"51","38"
"BE000006447","50.8","4.35","104.0","1987-11-12","0.28",,"49","43"
"BE000006447","50.8","4.35","104.0","1987-11-13","0.25",,"47","42"
"BE000006447","50.8","4.35","104.0","1987-11-14","0.01",,"49","40"
"BE000006447","50.8","4.35","104.0","1987-11-15","0.32",,"52","37"
"BE000006447","50.8","4.35","104.0","1987-11-16","0.21",,"56","40"
"BE000006447","50.8","4.35","104.0","1987-11-17","0.00",,"51","47"
"BE000006447","50.8","4.35","104.0","1987-11-18","0.00",,"53","46"
"BE000006447","50.8","4.35","104.0","1987-11-19","0.35",,"52","48"
"BE000006447","50.8","4.35","104.0","1987-11-20","0.22",,"48","42"
"BE000006447","50.8","4.35","104.0","1987-11-21","0.32",,"49","43"
"BE000006447","50.8","4.35","104.0","1987-11-22","0.49",,"45","43"
"BE000006447","50.8","4.35","104.0","1987-11-23","0.01",,"44","40"
"BE000006447","50.8","4.35","104.0","1987-11-24","0.00",,"43","40"
"BE000006447","50.8","4.35","104.0","1987-11-25","0.78",,"39","35"
"BE000006447","50.8","4.35","104.0","1987-11-26","0.22",,"41","36"
"BE000006447","50.8","4.35","104.0","1987-11-27","0.01",,"43","38"
"BE000006447","50.8","4.35","104.0","1987-11-28","0.00",,"42","38"
"BE000006447","50.8","4.35","104.0","1987-11-29","0.00",,"43","33"
"BE000006447","50.8","4.35","104.0","1987-11-30","0.00",,"42","29"
"BE000006447","50.8","4.35","104.0","1987-12-01","0.00",,"38","30"
"BE000006447","50.8","4.35","104.0","1987-12-02","0.00",,"37","32"
"BE000006447","50.8","4.35","104.0","1987-12-03","0.00",,"36","31"
"BE000006447","50.8","4.35","104.0","1987-12-04","0.00",,"42","28"
"BE000006447","50.8","4.35","104.0","1987-12-05","0.00",,"44","29"
"BE000006447","50.8","4.35","104.0","1987-12-06","0.00",,"34","32"
"BE000006447","50.8","4.35","104.0","1987-12-07","0.00",,"35","27"
"BE000006447","50.8","4.35","104.0","1987-12-08","0.00",,"35","24"
"BE000006447","50.8","4.35","104.0","1987-12-09","0.00",,"30","20"
"BE000006447","50.8","4.35","104.0","1987-12-10","0.00",,"33","17"
"BE000006447","50.8","4.35","104.0","1987-12-11","0.05",,"36","20"
"BE000006447","50.8","4.35","104.0","1987-12-12","0.01",,"39","33"
"BE000006447","50.8","4.35","104.0","1987-12-13","0.00",,"33","31"
"BE000006447","50.8","4.35","104.0","1987-12-14","0.00",,"30","22"
"BE000006447","50.8","4.35","104.0","1987-12-15","0.16",,"46","22"
"BE000006447","50.8","4.35","104.0","1987-12-16","0.19",,"52","30"
"BE000006447","50.8","4.35","104.0","1987-12-17","0.11",,"57","46"
"BE000006447","50.8","4.35","104.0","1987-12-18","0.09",,"58","51"
"BE000006447","50.8","4.35","104.0","1987-12-19","0.00",,"49","45"
"BE000006447","50.8","4.35","104.0","1987-12-20","0.05",,"49","43"
"BE000006447","50.8","4.35","104.0","1987-12-21","0.10",,"47","46"
"BE000006447","50.8","4.35","104.0","1987-12-22","0.01",,"49","44"
"BE000006447","50.8","4.35","104.0","1987-12-23","0.00",,"44","36"
"BE000006447","50.8","4.35","104.0","1987-12-24","0.04",,"45","35"
"BE000006447","50.8","4.35","104.0","1987-12-25","0.05",,"45","37"
"BE000006447","50.8","4.35","104.0","1987-12-26","0.01",,"46","43"
"BE000006447","50.8","4.35","104.0","1987-12-27","0.00",,"50","43"
"BE000006447","50.8","4.35","104.0","1987-12-28","0.00",,"51","44"
"BE000006447","50.8","4.35","104.0","1987-12-29","0.19",,"54","45"
"BE000006447","50.8","4.35","104.0","1987-12-30","0.03",,"53","48"
"BE000006447","50.8","4.35","104.0","1987-12-31","0.00",,"49","47"
"BE000006447","50.8","4.35","104.0","1988-01-01","0.25",,"53","44"
"BE000006447","50.8","4.35","104.0","1988-01-02","0.19",,"55","44"
"BE000006447","50.8","4.35","104.0","1988-01-03","0.14",,"47","45"
"BE000006447","50.8","4.35","104.0","1988-01-04","0.41",,"51","40"
"BE000006447","50.8","4.35","104.0","1988-01-05","0.33",,"53","40"
"BE000006447","50.8","4.35","104.0","1988-01-06","0.10",,"50","45"
